epic_link,epic_colo,epic_name
DVPS-25,#42526E,Github
DVPS-26,#B3D4FF,JIRA
DVPS-27,#FFC400,Architecture
DVPS-45,#C0B6F2,AWS
HACK-36,#79F2C0,Content series
HACK-37,#C0B6F2,Public kanban
HACK-45,#FF8F73,Production
HACK-74,#42526E,Refactor
HACK-82,#FFC400,Lynx
HACK-87,#FFE380,Projects Page
HACK-91,#998DD9,New Post
HACK-92,#C0B6F2,Post Revisions
HACK-93,#42526E,Widgets
HACK-94,#00C7E6,Video
HACK-143,#998DD9,Newsletter
HACK-144,#79F2C0,Syndication
HACK-145,#FFE380,Creative
HACK-150,#57D9A3,Page Templates
HACK-152,#B3D4FF,Refactor
HACK-158,#00C7E6,Admin
HACK-175,#FF8F73,Social
HACK-312,#E16141,Marketing
HACK-414,#4541E1,Dynamic Routing
HACK-426,#F785A0,Optimization 
HACK-448,#FDDA3E,Accounts
HACK-451,#291BA9,Code snippets
HACK-466,#ADDE41,MongoDb
HACK-478,#FFE380,SEO
HACK-512,#AB90F5,Revisions
HACK-750,#EBECF0,Webpack
HACK-757,#FF8F73,API
HACK-758,#B3D4FF,CDN
LIFE-1,#FF8F73,Urgent
LIFE-2,#998DD9,Health
LIFE-3,#79F2C0,Financials
LIFE-4,#FFE380,Inventory
LIFE-5,#C0B6F2,Clean
LIFE-6,#00C7E6,Happiness
LIFE-7,#FFBDAD,People
LIFE-8,#42526E,Essentials
LIFE-9,#4C9AFF,Gym
LIFE-179,#FF8F73,Career
